id,documento,tipo_persona
60226,55563-4915,EMPLEADO
60227,54828-1730,EGRESADO
60228,88634-5779,EGRESADO
60229,40980-7457,EGRESADO
60230,88722-3511,NO_RELACIONADO
60231,57514-8380,EMPLEADO
60232,64030-0260,NO_RELACIONADO
60233,37304-8603,ESTUDIANTE
60234,65237-4709,PROFESOR
60235,68879-7824,VECINO
60236,01244-6133,VECINO
60237,01944-1906,PADRE
60238,06984-1717,VECINO
60239,91124-8858,EGRESADO
60240,28742-1219,PADRE
60241,42026-6024,PADRE
60242,77938-4929,EMPLEADO
60243,64026-9798,EGRESADO
60244,17437-2419,VECINO
60245,84334-1824,PADRE
60246,78264-8822,PROFESOR
60247,39597-0137,ESTUDIANTE
60248,21237-8000,ESTUDIANTE
60249,65716-0214,EMPLEADO
60250,86096-6105,PROFESOR
60251,28654-2184,PROFESOR
60252,55729-3038,ESTUDIANTE
60253,95343-7193,NO_RELACIONADO
60254,71709-2512,VECINO
60255,05287-9165,NO_RELACIONADO
60256,91783-2276,ESTUDIANTE
60257,24904-0160,EGRESADO
60258,51303-6315,EGRESADO
60259,77627-3237,PROFESOR
60260,77590-9459,PROFESOR
60261,04992-5890,EMPLEADO
60262,38297-0191,PROFESOR
60263,77823-4951,EGRESADO
60264,88912-2478,PADRE
60265,40249-5236,PROFESOR
60266,20626-8842,PADRE
60267,62051-8593,NO_RELACIONADO
60268,19950-4774,NO_RELACIONADO
60269,36237-4282,PADRE
60270,65505-9110,EGRESADO
60271,45842-1951,VECINO
60272,49633-4997,VECINO
60273,64189-4219,ESTUDIANTE
60274,18183-3190,NO_RELACIONADO
60275,19259-6353,PROFESOR
60276,08260-3763,VECINO
60277,83776-8592,ESTUDIANTE
60278,69215-7427,PROFESOR
60279,55905-2119,VECINO
60280,80951-6828,PROFESOR
60281,99782-1191,PROFESOR
60282,12326-6217,PROFESOR
60283,18006-2036,EMPLEADO
60284,84571-1294,VECINO
60285,77356-2175,ESTUDIANTE
60286,84672-2225,PROFESOR
60287,46064-0531,PROFESOR
60288,42211-5864,PROFESOR
60289,10386-4947,EMPLEADO
60290,51582-5781,PADRE
60291,62588-8912,EMPLEADO
60292,48733-7249,PROFESOR
60293,44441-5631,EMPLEADO
60294,66893-4912,PROFESOR
60295,57206-9154,ESTUDIANTE
60296,07641-2883,NO_RELACIONADO
60297,81868-9541,PROFESOR
60298,54328-2359,PADRE
60299,11294-1343,ESTUDIANTE
60300,33682-5246,VECINO
60301,13483-6300,EGRESADO
60302,25483-2690,ESTUDIANTE
60303,94731-9196,ESTUDIANTE
60304,55328-5301,ESTUDIANTE
60305,67526-7529,NO_RELACIONADO
60306,58832-3950,VECINO
60307,63521-7037,EGRESADO
60308,46673-8697,VECINO
60309,92795-6532,NO_RELACIONADO
60310,50252-2520,NO_RELACIONADO
60311,73047-4238,PADRE
60312,59622-1424,PADRE
60313,91773-3290,PROFESOR
60314,19196-1520,EMPLEADO
60315,05688-6429,PADRE
60316,82804-4247,EMPLEADO
60317,12919-7528,PADRE
60318,81232-7150,ESTUDIANTE
60319,66115-2689,NO_RELACIONADO
60320,62725-5028,PROFESOR
60321,62003-9701,ESTUDIANTE
60322,62386-5032,PROFESOR
60323,76832-9539,PADRE
60324,84618-0956,EGRESADO
60325,74062-5868,PROFESOR
60326,45945-3520,PROFESOR
60327,88166-4864,PROFESOR
60328,36782-2022,EGRESADO
60329,82217-5978,PADRE
60330,21027-4731,EMPLEADO
60331,03045-1502,PROFESOR
60332,43773-9008,ESTUDIANTE
60333,77264-6864,EGRESADO
60334,46054-1211,EGRESADO
60335,63657-0067,EGRESADO
60336,47804-4171,PADRE
60337,24986-8131,NO_RELACIONADO
60338,31354-6216,EMPLEADO
60339,63227-2077,ESTUDIANTE
60340,84596-0849,EMPLEADO
60341,41574-7738,EGRESADO
60342,40147-0416,PADRE
60343,13363-7268,VECINO
60344,53637-4360,EGRESADO
60345,31028-0748,ESTUDIANTE
60346,05807-2802,EGRESADO
60347,97779-9969,NO_RELACIONADO
60348,83426-6242,VECINO
60349,52175-4184,VECINO
60350,50301-0203,PROFESOR
60351,67870-5370,PADRE
60352,14286-4446,PROFESOR
60353,09580-7729,NO_RELACIONADO
60354,88180-7978,EMPLEADO
60355,89806-5374,NO_RELACIONADO
60356,99293-9295,EGRESADO
60357,99470-8009,EMPLEADO
60358,94613-1006,VECINO
60359,21717-1916,EGRESADO
60360,83141-0989,VECINO
60361,22805-0314,EMPLEADO
60362,46957-9683,ESTUDIANTE
60363,44333-9909,ESTUDIANTE
60364,28542-7015,EMPLEADO
60365,33648-9406,ESTUDIANTE
60366,47210-3560,EMPLEADO
60367,40833-6939,EGRESADO
60368,49903-2813,EMPLEADO
60369,54063-2113,ESTUDIANTE
60370,67990-9353,ESTUDIANTE
60371,03756-5532,NO_RELACIONADO
60372,13765-7087,PADRE
60373,75770-2847,VECINO
60374,88424-8238,EMPLEADO
60375,56659-3636,EGRESADO
60376,07277-2019,EGRESADO
60377,44678-7264,ESTUDIANTE
60378,75582-5443,PROFESOR
60379,59597-0479,EMPLEADO
60380,10808-5501,PADRE
60381,30686-6682,PADRE
60382,13366-8434,EGRESADO
60383,26608-7100,VECINO
60384,04953-3834,PADRE
60385,14686-9633,EMPLEADO
60386,18438-9349,EMPLEADO
60387,56086-8816,NO_RELACIONADO
60388,03012-7069,PROFESOR
60389,93849-1508,EMPLEADO
60390,86254-4008,PROFESOR
60391,44394-6910,PROFESOR
60392,13172-3010,VECINO
60393,37950-6844,ESTUDIANTE
60394,27950-7596,PADRE
60395,43445-8603,ESTUDIANTE
60396,95801-4368,ESTUDIANTE
60397,49119-8650,ESTUDIANTE
60398,04087-3584,PROFESOR
60399,56195-7755,PADRE
60400,97683-8056,EMPLEADO
60401,13334-4817,PADRE
60402,40695-5801,PADRE
60403,14460-3024,NO_RELACIONADO
60404,18005-4299,ESTUDIANTE
60405,86406-1430,EGRESADO
60406,60926-6945,VECINO
60407,09257-5916,PADRE
60408,59094-1684,EMPLEADO
60409,74238-5474,VECINO
60410,61869-1693,EMPLEADO
60411,99634-3509,VECINO
60412,03934-5793,NO_RELACIONADO
60413,72144-3265,PROFESOR
60414,61066-3179,PADRE
60415,33493-6509,VECINO
60416,60358-2779,VECINO
60417,81484-0518,ESTUDIANTE
60418,27965-8173,VECINO
60419,53605-1623,PROFESOR
60420,79183-8451,PADRE
60421,17985-1229,ESTUDIANTE
60422,25002-9673,VECINO
60423,97335-3524,PROFESOR
60424,11166-7217,PADRE
60425,22527-1021,PROFESOR
60426,83440-8024,PROFESOR
60427,73371-2328,EMPLEADO
60428,38126-3418,PADRE
60429,52364-4302,EGRESADO
60430,50474-8406,ESTUDIANTE
60431,95655-5437,ESTUDIANTE
60432,87497-5824,EGRESADO
60433,51202-6079,EMPLEADO
60434,61453-1632,PROFESOR
60435,90887-8242,ESTUDIANTE
60436,91161-4083,EGRESADO
60437,61885-1342,ESTUDIANTE
60438,28446-6522,EMPLEADO
60439,21014-6733,ESTUDIANTE
60440,17649-5933,PADRE
60441,77006-3008,VECINO
60442,07190-1187,EMPLEADO
60443,00514-7397,PADRE
60444,18936-7085,EMPLEADO
60445,00297-5362,PROFESOR
60446,52087-9357,ESTUDIANTE
60447,98929-1616,PROFESOR
60448,92181-9827,EGRESADO
60449,09281-7350,EMPLEADO
60450,58468-7708,PROFESOR
60451,63225-8507,PROFESOR
60452,60811-9415,NO_RELACIONADO
60453,06040-0867,EMPLEADO
60454,86848-8175,EMPLEADO
60455,47116-1546,PROFESOR
60456,31880-4426,PADRE
60457,80817-5198,PROFESOR
60458,51700-1688,EGRESADO
60459,64286-4505,VECINO
60460,63242-9889,NO_RELACIONADO
60461,37709-5677,PROFESOR
60462,38937-0478,PROFESOR
60463,09274-8398,PROFESOR
60464,50868-3764,EGRESADO
60465,64184-1517,VECINO
60466,00657-9700,PADRE
60467,65583-2291,PROFESOR
60468,30734-2411,ESTUDIANTE
60469,08074-0920,PROFESOR
60470,02996-8513,PADRE
60471,43549-4837,EGRESADO
60472,85028-2511,EGRESADO
60473,76798-9443,NO_RELACIONADO
60474,73450-0414,ESTUDIANTE
60475,32757-9592,NO_RELACIONADO
60476,19824-2866,EGRESADO
60477,33422-1327,VECINO
60478,86555-7624,PROFESOR
60479,83156-1170,PROFESOR
60480,05703-4650,PADRE
60481,73557-5617,PADRE
60482,06064-9677,ESTUDIANTE
60483,40095-6513,ESTUDIANTE
60484,25429-5678,EMPLEADO
60485,08357-3577,NO_RELACIONADO
60486,64712-2326,NO_RELACIONADO
60487,82121-5706,VECINO
60488,39347-7757,VECINO
60489,39109-9721,PADRE
60490,32011-7715,PADRE
60491,16704-2662,EGRESADO
60492,52194-9778,ESTUDIANTE
60493,88924-0472,PADRE
60494,62016-1063,ESTUDIANTE
60495,96286-7149,PADRE
60496,47877-7448,ESTUDIANTE
60497,13016-4639,PADRE
60498,86844-4272,EMPLEADO
60499,30334-7532,PADRE
60500,29503-6572,NO_RELACIONADO
60501,25440-8646,PADRE
60502,77253-6889,VECINO
60503,16214-1810,PROFESOR
60504,78738-1000,VECINO
60505,55207-5376,PROFESOR
60506,95189-6980,PADRE
60507,93718-1777,VECINO
60508,16287-0353,PADRE
60509,43305-3035,PROFESOR
60510,87033-5860,ESTUDIANTE
60511,51044-6599,PADRE
60512,06136-6960,PADRE
60513,73795-8426,PADRE
60514,56084-5510,EGRESADO
60515,90704-1400,PADRE
60516,83730-2904,NO_RELACIONADO
60517,97223-0786,PADRE
60518,91418-6539,NO_RELACIONADO
60519,86779-6405,EGRESADO
60520,05767-0533,ESTUDIANTE
60521,82850-5621,PADRE
60522,98505-5571,NO_RELACIONADO
60523,82868-4373,PADRE
60524,32032-8622,ESTUDIANTE
60525,86124-1302,NO_RELACIONADO
60526,94915-7181,EGRESADO
60527,79749-2436,ESTUDIANTE
60528,76942-6691,EMPLEADO
60529,82560-1461,EGRESADO
60530,03054-0899,EMPLEADO
60531,23510-3374,EGRESADO
60532,56599-6548,ESTUDIANTE
60533,56774-3037,PADRE
60534,65528-2574,NO_RELACIONADO
60535,18434-5363,VECINO
60536,30499-9274,EGRESADO
60537,53800-0099,EGRESADO
60538,46666-6303,VECINO
60539,64669-0021,ESTUDIANTE
60540,83267-3058,NO_RELACIONADO
60541,85802-6075,EMPLEADO
60542,49862-8102,PROFESOR
60543,31378-4684,EMPLEADO
60544,75005-0853,ESTUDIANTE
60545,20779-4378,EMPLEADO
60546,61432-5912,NO_RELACIONADO
60547,84449-3776,PROFESOR
60548,03325-7231,PADRE
60549,70175-7469,ESTUDIANTE
60550,29398-7940,VECINO
60551,76207-6481,VECINO
60552,95373-2968,EMPLEADO
60553,35378-2630,PADRE
60554,64105-3741,EMPLEADO
60555,15867-4104,EGRESADO
60556,47267-6238,EGRESADO
60557,77492-0756,NO_RELACIONADO
60558,67371-3637,PADRE
60559,86434-0601,VECINO
60560,36222-3077,VECINO
60561,58578-2753,PROFESOR
60562,02082-8974,VECINO
60563,47479-3874,PADRE
60564,07768-9178,ESTUDIANTE
60565,07955-7160,EGRESADO
60566,38204-0167,VECINO
60567,13960-6388,VECINO
60568,09508-4642,ESTUDIANTE
60569,54692-2386,ESTUDIANTE
60570,26458-4718,NO_RELACIONADO
60571,16414-9685,VECINO
60572,63739-2633,PROFESOR
60573,04615-1491,VECINO
60574,30903-7898,EGRESADO
60575,94011-0260,NO_RELACIONADO
60576,70508-1692,PADRE
60577,35858-7261,ESTUDIANTE
60578,76334-3055,NO_RELACIONADO
60579,78143-3387,NO_RELACIONADO
60580,60455-7971,EGRESADO
60581,16396-0671,NO_RELACIONADO
60582,42518-5186,EMPLEADO
60583,37044-7693,EMPLEADO
60584,74193-6406,EGRESADO
60585,46803-0301,NO_RELACIONADO
60586,32924-0574,NO_RELACIONADO
60587,41697-1683,ESTUDIANTE
60588,44374-5569,PROFESOR
60589,79696-5358,PADRE
60590,15239-1919,ESTUDIANTE
60591,25444-1380,NO_RELACIONADO
60592,26877-3513,EMPLEADO
60593,61138-1654,VECINO
60594,32143-2971,ESTUDIANTE
60595,10507-9429,EMPLEADO
60596,09539-5764,NO_RELACIONADO
60597,93841-6631,PROFESOR
60598,38445-9417,ESTUDIANTE
60599,17960-5255,EMPLEADO
60600,79229-0282,EMPLEADO
60601,20431-4286,VECINO
60602,93968-8850,ESTUDIANTE
60603,59060-4187,EMPLEADO
60604,58075-6059,NO_RELACIONADO
60605,19756-9457,EMPLEADO
60606,92901-6425,EGRESADO
60607,54460-3803,PADRE
60608,84811-3685,EGRESADO
60609,28590-9139,NO_RELACIONADO
60610,60827-0872,PADRE
60611,04488-1392,VECINO
60612,94595-5785,NO_RELACIONADO
60613,63680-6549,EGRESADO
60614,42914-4430,NO_RELACIONADO
60615,98528-4824,ESTUDIANTE
60616,58067-6275,ESTUDIANTE
60617,28210-7520,EMPLEADO
60618,99131-3206,ESTUDIANTE
60619,70441-1548,NO_RELACIONADO
60620,37286-3998,PADRE
60621,62406-6754,VECINO
60622,61666-6548,VECINO
60623,18276-5265,EMPLEADO
60624,89630-2825,EGRESADO
60625,03087-9267,PADRE
60626,43971-9763,EMPLEADO
60627,03445-4415,ESTUDIANTE
60628,06641-2811,VECINO
60629,07921-7884,NO_RELACIONADO
60630,96532-8251,ESTUDIANTE
60631,83012-0504,PADRE
60632,75536-7344,EMPLEADO
60633,68905-4090,PADRE
60634,24457-2541,PROFESOR
60635,23493-9337,ESTUDIANTE
60636,15670-6772,VECINO
60637,69842-6901,ESTUDIANTE
60638,72612-2191,PADRE
60639,75207-8442,EGRESADO
60640,71912-7648,NO_RELACIONADO
60641,38895-9491,EGRESADO
60642,03416-2245,ESTUDIANTE
60643,75359-1835,ESTUDIANTE
60644,85315-8092,EMPLEADO
60645,85308-3763,PROFESOR
60646,97145-6209,EMPLEADO
60647,56759-9764,EMPLEADO
60648,83631-7826,EGRESADO
60649,27869-4046,VECINO
60650,73372-4757,PADRE
60651,06285-7951,NO_RELACIONADO
60652,72600-6951,PADRE
60653,54250-4032,VECINO
60654,81119-3862,EGRESADO
60655,25567-6169,ESTUDIANTE
60656,14729-3749,EGRESADO
60657,66770-9317,NO_RELACIONADO
60658,56451-2940,ESTUDIANTE
60659,02989-4587,VECINO
60660,28709-6163,ESTUDIANTE
60661,08658-1094,PADRE
60662,92695-6734,EGRESADO
60663,70266-6603,NO_RELACIONADO
60664,30210-5335,ESTUDIANTE
60665,28367-3246,PADRE
60666,37012-1538,NO_RELACIONADO
60667,64378-6945,NO_RELACIONADO
60668,12453-0217,NO_RELACIONADO
60669,53344-4722,EGRESADO
60670,64121-5262,EMPLEADO
60671,15082-9193,EMPLEADO
60672,14027-1886,NO_RELACIONADO
60673,44495-0912,PADRE
60674,42027-1804,PROFESOR
60675,54115-4499,PROFESOR
60676,86072-8860,NO_RELACIONADO
60677,93183-0542,EGRESADO
60678,57475-9116,NO_RELACIONADO
60679,65316-0357,VECINO
60680,23295-2274,VECINO
60681,85204-9938,EMPLEADO
60682,70551-9947,EMPLEADO
60683,73274-4749,EGRESADO
60684,75688-8205,ESTUDIANTE
60685,97181-1288,NO_RELACIONADO
60686,70920-5615,PROFESOR
60687,17478-6857,ESTUDIANTE
60688,23855-4278,EMPLEADO
60689,83273-5414,NO_RELACIONADO
60690,61015-7370,PROFESOR
60691,03676-8194,NO_RELACIONADO
60692,30957-0271,PROFESOR
60693,65239-8692,NO_RELACIONADO
60694,13702-3606,EGRESADO
60695,62350-0509,EGRESADO
60696,98186-0982,ESTUDIANTE
60697,97212-0883,EMPLEADO
60698,78110-8258,NO_RELACIONADO
60699,02367-1136,EGRESADO
60700,40263-5072,PADRE
60701,99243-9611,EGRESADO
60702,57475-3986,PROFESOR
60703,08062-1336,PROFESOR
60704,96819-4342,VECINO
60705,88692-1483,EGRESADO
60706,74393-1982,PROFESOR
60707,95804-1402,PADRE
60708,30806-9571,PROFESOR
60709,63845-4566,PROFESOR
60710,30611-3875,EMPLEADO
60711,48323-8775,PADRE
60712,38659-4712,ESTUDIANTE
60713,08308-8045,EGRESADO
60714,09570-7327,EMPLEADO
60715,67837-6692,NO_RELACIONADO
60716,99172-3983,ESTUDIANTE
60717,01709-4837,EMPLEADO
60718,52111-4941,ESTUDIANTE
60719,66773-6860,EGRESADO
60720,53900-1232,NO_RELACIONADO
60721,67124-5980,PROFESOR
60722,72638-4492,ESTUDIANTE
60723,02455-5406,NO_RELACIONADO
60724,03091-2052,NO_RELACIONADO
60725,41243-4907,PADRE
60726,27314-5996,PADRE
60727,51942-7776,ESTUDIANTE
60728,91497-2770,PADRE
60729,43709-1630,NO_RELACIONADO
60730,97734-0589,NO_RELACIONADO
60731,95514-7780,EGRESADO
60732,08280-2184,EGRESADO
60733,84783-2672,PROFESOR
60734,21208-6667,NO_RELACIONADO
60735,08217-5457,EMPLEADO
60736,86676-2221,EGRESADO
60737,44849-5577,PROFESOR
60738,23459-1863,VECINO
60739,26180-8381,VECINO
60740,82050-8998,EGRESADO
60741,74696-0756,NO_RELACIONADO
60742,36843-3943,EMPLEADO
60743,74415-7465,PROFESOR
60744,14270-0990,VECINO
60745,75659-7561,VECINO
60746,06056-3812,PADRE
60747,03407-4427,EGRESADO
60748,60178-8071,PADRE
60749,48374-2601,PADRE
60750,77236-6521,PROFESOR
60751,11701-1634,PROFESOR
60752,37287-6682,PADRE
60753,19733-0052,EMPLEADO
60754,33977-8417,PADRE
60755,26233-4599,PROFESOR
60756,30591-4160,PADRE
60757,58851-8700,VECINO
60758,31938-2548,PROFESOR
60759,22237-8850,PROFESOR
60760,89563-9020,VECINO
60761,53565-2916,NO_RELACIONADO
60762,97386-2011,NO_RELACIONADO
60763,66972-4253,PADRE
60764,70268-9222,PADRE
60765,31574-2187,PADRE
60766,61760-3400,ESTUDIANTE
60767,01953-5046,ESTUDIANTE
60768,13645-4158,ESTUDIANTE
60769,02936-0683,ESTUDIANTE
60770,41726-7082,VECINO
60771,67821-8299,EGRESADO
60772,27520-4810,PROFESOR
60773,27591-3072,PADRE
60774,85893-7856,NO_RELACIONADO
60775,33039-7951,PROFESOR
60776,70839-5215,PROFESOR
60777,23544-0901,ESTUDIANTE
60778,83542-0530,NO_RELACIONADO
60779,54058-2090,PADRE
60780,64286-8210,PADRE
60781,11999-1775,ESTUDIANTE
60782,98666-5456,NO_RELACIONADO
60783,29415-8651,PADRE
60784,86066-9232,EMPLEADO
60785,60837-1666,PROFESOR
60786,27995-7600,PROFESOR
60787,28035-2228,PROFESOR
60788,08949-0168,PROFESOR
60789,87580-2557,EGRESADO
60790,92326-4798,VECINO
60791,66049-7752,EGRESADO
60792,29215-8303,EMPLEADO
60793,28705-4854,VECINO
60794,59347-1607,PADRE
60795,14950-9792,PROFESOR
60796,64640-5612,NO_RELACIONADO
60797,30656-6285,VECINO
60798,48767-2474,PADRE
60799,12018-1976,PROFESOR
60800,89808-1134,NO_RELACIONADO
60801,43949-3769,ESTUDIANTE
60802,42263-3656,PADRE
60803,22630-1969,EGRESADO
60804,93931-5989,EGRESADO
60805,69283-7696,VECINO
60806,94407-7892,PADRE
60807,49984-1556,EMPLEADO
60808,33485-0217,EMPLEADO
60809,38482-4053,VECINO
60810,14622-8895,EMPLEADO
60811,54635-1867,EGRESADO
60812,62522-1904,EMPLEADO
60813,68823-0916,NO_RELACIONADO
60814,91085-8056,ESTUDIANTE
60815,75082-9639,PADRE
60816,08974-5068,EGRESADO
60817,59571-7714,ESTUDIANTE
60818,22294-4609,NO_RELACIONADO
60819,11271-9265,ESTUDIANTE
60820,59955-5619,ESTUDIANTE
60821,11082-4036,PADRE
60822,15877-6582,ESTUDIANTE
60823,79007-0144,PROFESOR
60824,28567-6025,ESTUDIANTE
60825,35428-5630,PADRE
60826,10163-9710,NO_RELACIONADO
60827,98189-6017,ESTUDIANTE
60828,73647-5435,NO_RELACIONADO
60829,08305-9672,NO_RELACIONADO
60830,39385-0316,EGRESADO
60831,70144-5490,PROFESOR
60832,50717-6198,EMPLEADO
60833,15286-2832,ESTUDIANTE
60834,86723-1450,PROFESOR
60835,31349-0991,PROFESOR
60836,93670-0797,NO_RELACIONADO
60837,10955-4894,EGRESADO
60838,07474-8291,EMPLEADO
60839,86412-9922,EGRESADO
60840,42587-0388,NO_RELACIONADO
60841,62977-1737,PROFESOR
60842,50687-6874,EMPLEADO
